method,display_name,n_planted_maps,median_abs_r,q1_abs_r,q3_abs_r,iqr_abs_r,minimum_abs_r,maximum_abs_r,mean_abs_r,n_abs_r_ge_0_90,fraction_abs_r_ge_0_90,n_abs_r_ge_0_95,fraction_abs_r_ge_0_95,actual_n_iter,stopping_reason
amica_3000,"AMICA 3,000",32,0.8421372304520969,0.7905229671908405,0.9422459746071338,0.1517230074162933,0.6459421395743964,0.9967229050467001,0.848575059557969,11,0.34375,7,0.21875,3000,iteration cap
amica_10000,"AMICA 10,000",32,0.9867382962489333,0.9742969470811144,0.9944353963250604,0.020138449243946033,0.8815244435785509,0.9986255861060628,0.9786555063357004,31,0.96875,29,0.90625,10000,iteration cap
picard,Picard,32,0.9961712300942236,0.9911287075136097,0.9975310452242596,0.006402337710649908,0.9762989486700687,0.9994675221199092,0.9938048346486866,32,1.0,32,1.0,51,Picard gradient tolerance
extended_infomax,Ext. Infomax,32,0.9960281864574843,0.9911206377583593,0.9975006152148536,0.0063799774564942124,0.9767117007679873,0.9994876208539232,0.9937978246715049,32,1.0,32,1.0,82,extended Infomax weight-change criterion
fastica,FastICA,32,0.9957811781525892,0.9915728566387405,0.9975986438120096,0.00602578717326907,0.9759716386227927,0.9993993194888899,0.9938442808881702,32,1.0,32,1.0,4,FastICA unmixing convergence tolerance
