method,display_name,planted_source_index,estimated_component_index,signed_r,abs_r,sign_flip,source_vertex,source_hemi,source_label,selection_score,selected_for_panel_d
amica_10000,"AMICA 10,000",13,23,0.9905639382961963,0.9905639382961963,False,95728,lh,caudalanteriorcingulate-lh,,False
amica_10000,"AMICA 10,000",14,20,0.9785559047207294,0.9785559047207294,False,19789,lh,postcentral-lh,,False
amica_10000,"AMICA 10,000",15,1,-0.9760673163017233,0.9760673163017233,True,107405,lh,parsopercularis-lh,,False
amica_10000,"AMICA 10,000",16,24,-0.997118316352776,0.997118316352776,True,38908,lh,isthmuscingulate-lh,,False
amica_10000,"AMICA 10,000",17,21,0.995927028643562,0.995927028643562,False,4773,rh,precuneus-rh,,False
amica_10000,"AMICA 10,000",18,0,-0.9778284230839438,0.9778284230839438,True,154179,rh,frontalpole-rh,0.9820881081865381,True
amica_10000,"AMICA 10,000",19,22,0.9644863347414443,0.9644863347414443,False,121283,lh,temporalpole-lh,0.9789897018396234,True
amica_10000,"AMICA 10,000",20,4,-0.9963329237113242,0.9963329237113242,True,105454,rh,rostralmiddlefrontal-rh,,False
amica_10000,"AMICA 10,000",21,12,-0.9682066250304393,0.9682066250304393,True,66616,rh,parahippocampal-rh,,False
amica_10000,"AMICA 10,000",22,3,0.9850209756779845,0.9850209756779845,False,64096,lh,insula-lh,,False
amica_10000,"AMICA 10,000",23,19,-0.9752781640214558,0.9752781640214558,True,64498,lh,parahippocampal-lh,0.986623157963923,True
amica_10000,"AMICA 10,000",24,16,-0.9893305272547364,0.9893305272547364,True,100052,rh,caudalanteriorcingulate-rh,,False
amica_10000,"AMICA 10,000",25,30,0.994277975666838,0.994277975666838,False,55756,rh,bankssts-rh,,False
amica_10000,"AMICA 10,000",26,27,0.9960089225249222,0.9960089225249222,False,109649,lh,medialorbitofrontal-lh,,False
amica_10000,"AMICA 10,000",27,10,0.994069833647144,0.994069833647144,False,42874,rh,supramarginal-rh,,False
amica_10000,"AMICA 10,000",28,13,-0.981736941902118,0.981736941902118,True,123078,lh,lateralorbitofrontal-lh,,False
amica_10000,"AMICA 10,000",29,8,0.9959629652565132,0.9959629652565132,False,33499,rh,inferiortemporal-rh,,False
amica_10000,"AMICA 10,000",30,11,-0.9884556168198819,0.9884556168198819,True,10118,rh,lingual-rh,,False
amica_10000,"AMICA 10,000",31,18,0.9149987745426129,0.9149987745426129,False,2380,lh,pericalcarine-lh,,False
picard,Picard,0,18,0.997731405780662,0.997731405780662,False,66297,rh,insula-rh,,False
picard,Picard,1,31,-0.9978078127027132,0.9978078127027132,True,68980,rh,transversetemporal-rh,,False
