rank,planted_source_index,q_best_method,best_method,amica_3000_r,amica_10000_r,picard_r,extended_infomax_r,fastica_r,source_vertex,source_hemi,source_label
1,19,0.9789897018396234,amica_3000,0.9789897018396234,0.9644863347414443,0.9762989486700687,0.9767117007679873,0.9759716386227927,121283,lh,temporalpole-lh
2,18,0.9820881081865381,fastica,0.9022542812146599,0.9778284230839438,0.9788103998025033,0.9785875197422665,0.9820881081865381,154179,rh,frontalpole-rh
3,23,0.986623157963923,fastica,0.8442033576426954,0.9752781640214558,0.9862953259382496,0.9863362008137974,0.986623157963923,64498,lh,parahippocampal-lh
