dataset,subject,component,mean_rho,activation,empirical_density,fitted_density
ds004505,sub-01,34,1.0376397047162462,-5.2829848906053236,0.00076868967466168614,0.00048541569925285083
ds004505,sub-01,34,1.0376397047162462,-5.2165322504719231,0.00076868967466168614,0.00051200964209256196
ds004505,sub-01,34,1.0376397047162462,-5.1500796103385227,0.00080712415839478122,0.00054106404418725993
ds004505,sub-01,34,1.0376397047162462,-5.0836269702051231,0.00082634140026131256,0.00057282916181697818
ds004505,sub-01,34,1.0376397047162462,-5.0171743300717226,0.00099929657706019194,0.00060758092518962536
ds004505,sub-01,34,1.0376397047162462,-4.9507216899383222,0.00096086209332710759,0.00064562356403628568
ds004505,sub-01,34,1.0376397047162462,-4.8842690498049217,0.00099929657706019194,0.00068729250024485362
ds004505,sub-01,34,1.0376397047162462,-4.8178164096715212,0.00098007933519364977,0.00073295753449870637
ds004505,sub-01,34,1.0376397047162462,-4.7513637695381217,0.0012106862375921717,0.00078302635658506316
ds004505,sub-01,34,1.0376397047162462,-4.6849111294047212,0.0013644241725244927,0.00083794841200206032
ds004505,sub-01,34,1.0376397047162462,-4.6184584892713207,0.0010569483026598185,0.00089821916075027378
ds004505,sub-01,34,1.0376397047162462,-4.5520058491379203,0.0011722517538590713,0.00096438476777165982
ds004505,sub-01,34,1.0376397047162462,-4.4855532090045198,0.0014028586562575959,0.0010370472684275926
ds004505,sub-01,34,1.0376397047162462,-4.4191005688711202,0.0015181621074568301,0.0011168702567216074
ds004505,sub-01,34,1.0376397047162462,-4.3526479287377198,0.0018256379773215045,0.0012045851487085296
ds004505,sub-01,34,1.0376397047162462,-4.2861952886043193,0.0018256379773215045,0.0013009980787301728
ds004505,sub-01,34,1.0376397047162462,-4.2197426484709188,0.0016719000423891673,0.0014069974918227666
ds004505,sub-01,34,1.0376397047162462,-4.1532900083375184,0.0016142483167895408,0.0015235625019006213
ds004505,sub-01,34,1.0376397047162462,-4.0868373682041179,0.0018064207354549623,0.0016517720921866911
ds004505,sub-01,34,1.0376397047162462,-4.0203847280707183,0.0021138966053196651,0.0017928152418905511
ds004505,sub-01,34,1.0376397047162462,-3.9539320879373179,0.0022868517821185161,0.0019480020713900105
ds004505,sub-01,34,1.0376397047162462,-3.8874794478039174,0.002382937991451227,0.0021187761072215278
ds004505,sub-01,34,1.0376397047162462,-3.8210268076705169,0.0024790242007839379,0.0023067277781002003
ds004505,sub-01,34,1.0376397047162462,-3.7545741675371165,0.0025558931682501235,0.0025136092640520623
ds004505,sub-01,34,1.0376397047162462,-3.6881215274037169,0.0024598069589174118,0.0027413508326357985
ds004505,sub-01,34,1.0376397047162462,-3.6216688872703164,0.0028825862799813228,0.002992078809251798
ds004505,sub-01,34,1.0376397047162462,-3.555216247136916,0.0031900621498459976,0.0032681353427841992
ds004505,sub-01,34,1.0376397047162462,-3.4887636070035155,0.0031900621498459976,0.0035721001434062438
ds004505,sub-01,34,1.0376397047162462,-3.422310966870115,0.0041317070013065903,0.0039068143864177084
ds004505,sub-01,34,1.0376397047162462,-3.355858326736715,0.0041509242431731052,0.0042754069946027047
ds004505,sub-01,34,1.0376397047162462,-3.289405686603315,0.0046697897735697739,0.0046813235319323786
ds004505,sub-01,34,1.0376397047162462,-3.2229530464699145,0.0048235277085020801,0.0051283579636351023
ds004505,sub-01,34,1.0376397047162462,-3.1565004063365141,0.0054384794482314298,0.0056206875618722328
ds004505,sub-01,34,1.0376397047162462,-3.0900477662031136,0.0053039587551656697,0.0061629112626547461
ds004505,sub-01,34,1.0376397047162462,-3.0235951260697136,0.0065722967183574161,0.0067600918083895005
ds004505,sub-01,34,1.0376397047162462,-2.9571424859363136,0.0064185587834251221,0.0074178020417370143
ds004505,sub-01,34,1.0376397047162462,-2.8906898458029131,0.0068221208626224631,0.0081421757504866986
ds004505,sub-01,34,1.0376397047162462,-2.8242372056695126,0.0082057622770134991,0.0089399635001094283
ds004505,sub-01,34,1.0376397047162462,-2.7577845655361122,0.0089744519516752452,0.0098185939307344396
ds004505,sub-01,34,1.0376397047162462,-2.6913319254027122,0.009358796789006028,0.010786241038723323
ds004505,sub-01,34,1.0376397047162462,-2.6248792852693117,0.010108269221801173,0.011851898009983453
ds004505,sub-01,34,1.0376397047162462,-2.5584266451359117,0.011357389943126489,0.013025458222872304
ds004505,sub-01,34,1.0376397047162462,-2.4919740050025112,0.012491207213252399,0.014317804093178539
ds004505,sub-01,34,1.0376397047162462,-2.4255213648691107,0.014163107255641565,0.015740904492382472
ds004505,sub-01,34,1.0376397047162462,-2.3590687247357103,0.015873441781763923,0.017307921533324645
ds004505,sub-01,34,1.0376397047162462,-2.2926160846023103,0.017064910777489433,0.019033327584614731
ds004505,sub-01,34,1.0376397047162462,-2.2261634444689102,0.018544638401213301,0.020933033446590362
ds004505,sub-01,34,1.0376397047162462,-2.1597108043355098,0.017852817694017659,0.023024528697276239
ds004505,sub-01,34,1.0376397047162462,-2.0932581642021093,0.021965307453457681,0.025327035296341213
ds004505,sub-01,34,1.0376397047162462,-2.0268055240687088,0.024079204058777476,0.027861675618049097
ds004505,sub-01,34,1.0376397047162462,-1.9603528839353088,0.026788835161959759,0.030651656169923183
ds004505,sub-01,34,1.0376397047162462,-1.8939002438019086,0.029344728330210065,0.033722468341194904
ds004505,sub-01,34,1.0376397047162462,-1.8274476036685083,0.0342835594899112,0.037102107612492642
ds004505,sub-01,34,1.0376397047162462,-1.7609949635351079,0.036724149206962056,0.040821312743360705
ds004505,sub-01,34,1.0376397047162462,-1.6945423234017076,0.041297852771199364,0.044913826533871909
ds004505,sub-01,34,1.0376397047162462,-1.6280896832683074,0.045794687367969947,0.049416679826303593
ds004505,sub-01,34,1.0376397047162462,-1.5616370431349069,0.051636728895398762,0.054370500466303498
ds004505,sub-01,34,1.0376397047162462,-1.4951844030015067,0.05709442558549712,0.059819848971398484
ds004505,sub-01,34,1.0376397047162462,-1.4287317628681064,0.064396977494782751,0.065813582645790264
ds004505,sub-01,34,1.0376397047162462,-1.362279122734706,0.071295967324871395,0.07240524981678928
ds004505,sub-01,34,1.0376397047162462,-1.2958264826013055,0.079597815811217595,0.079653515725305574
ds004505,sub-01,34,1.0376397047162462,-1.2293738424679055,0.091051291963677936,0.087622621345109952
ds004505,sub-01,34,1.0376397047162462,-1.1629212023345055,0.099775919771086852,0.096382875981541757
ds004505,sub-01,34,1.0376397047162462,-1.096468562201105,0.1133817270125987,0.10601118383374612
ds004505,sub-01,34,1.0376397047162462,-1.0300159220677045,0.12183731343387724,0.11659160368064493
ds004505,sub-01,34,1.0376397047162462,-0.96356328193430407,0.13928656904869752,0.1282159392933449
ds004505,sub-01,34,1.0376397047162462,-0.89711064180090405,0.15072082795929212,0.14098435580790075
ds004505,sub-01,34,1.0376397047162462,-0.83065800166750403,0.16959215947223449,0.15500601366285818
ds004505,sub-01,34,1.0376397047162462,-0.76420536153410357,0.18342857361614484,0.17039970606489566
ds004505,sub-01,34,1.0376397047162462,-0.6977527214007031,0.19891767056057783,0.18729447699193405
ds004505,sub-01,34,1.0376397047162462,-0.63130008126730264,0.22209366425162766,0.20583018212416321
ds004505,sub-01,34,1.0376397047162462,-0.56484744113390262,0.24152229577870499,0.2261579303431778
ds004505,sub-01,34,1.0376397047162462,-0.4983948010005026,0.25749182376979829,0.24844029957322761
ds004505,sub-01,34,1.0376397047162462,-0.43194216086710213,0.28195537266590642,0.27285113860929416
ds004505,sub-01,34,1.0376397047162462,-0.36548952073370167,0.3003847076159204,0.2995685722384599
