display,implementation,device,n_components,n_samples,n_iter,fit_time_s,ll_final,abs_ll_difference_vs_amica_jax_cpu,median_matched_row_correlation_vs_amica_jax_cpu,minimum_matched_row_correlation_vs_amica_jax_cpu,timing_boundary,n_process_repetitions
amica JAX-GPU (chunked),amica_python_jax_chunked,gpu,64,785328,100,39.8960989479674,-1.1645367268974818,2.019881299708537e-05,0.9999999888425604,0.9999983414667485,model.fit after shared PCA-array loading; first-use compilation included,1
amica JAX-CPU,amica_python_jax,cpu,64,785328,100,291.1592418400105,-1.1645165280844847,0.0,0.9999999999999999,0.9999999999999992,model.fit after shared PCA-array loading; first-use compilation included,1
Scott–Huberty amica-python 0.1.1,scott_huberty_torch,cpu,64,785328,100,301.8821345299948,-1.1635883556024822,0.0009281724820024984,0.999866474069883,0.975675204357704,model.fit after shared PCA-array loading; first-use compilation included,1
PyAMICA 0.3.0,pyamica_torch,cpu,64,785328,100,652.3214546330273,-1.163748150057121,0.0007683780273637364,0.9998706453837731,0.9544843451542103,model.fit after shared PCA-array loading; first-use compilation included,1
pAMICA 0.3.1,pamica_torch,cpu,64,785328,100,348.88850106298923,-1.1656308146134151,0.0011142865289304194,0.9995935627977406,0.9529825210105161,model.fit after shared PCA-array loading; first-use compilation included,1
Fortran AMICA 1.7,fortran_amica17,cpu,64,785328,100,595.0585540359607,-1.1644305146343168,8.601345016789885e-05,0.9999349783695887,0.9390616660774986,external executable; input serialisation excluded; initialisation and output writing included,1
