alpha_fortran,alpha_python,mu_fortran,mu_python,beta_fortran,beta_python,rho_fortran,rho_python
0.12270547631391136,0.1226725216331475,-1.1375644535972353,-1.1375707651058249,0.8993928558417109,0.8991527996361448,1.1795767940866848,1.1797582538384868
0.7693764634582397,0.769446945404579,0.01257372603736557,0.012573448976137228,1.5505096647344006,1.5504369897916925,1.2373139316306725,1.2372144352428291
0.10791806022784695,0.10788053296227347,1.20732796419304,1.2074079220950151,1.0093891620208295,1.0092425201692652,1.130062423984298,1.1301249040178805
0.18570813889832333,0.18570210701149908,-0.9152482054797019,-0.915244442987051,0.9166661768043456,0.9166190312623592,1.2469823325404414,1.2470273094620625
0.6353946124785381,0.6354053323055183,0.0009386388258016733,0.0009363601195450156,1.71385430292844,1.713843399058039,1.3105330775075144,1.310507140998087
0.178897248623135,0.17889256068298257,0.9480671973032301,0.9480638581205573,0.8912656749026276,0.8912635375347567,1.2538452557390307,1.2538328272815187
0.18344087050227434,0.18346517800888243,-0.9565107692373824,-0.9565146649863229,1.0287863975575455,1.028882962870655,1.1764030658843858,1.1763577161189223
0.5529536435104454,0.5528994535129553,-0.016674532339846358,-0.016677582135010575,2.0136147599110257,2.013674507661998,1.2416583503027239,1.2417895730496606
0.26360548598727723,0.26363536847816216,0.7002720866610578,0.7002848813453069,0.9982475508685495,0.9983355436424868,1.1605928262343457,1.1605533268906336
0.2312151139597912,0.23125855557069344,-0.8174246965658811,-0.8174165722008673,1.1578042513233893,1.1579252659059274,1.1214870817931,1.1214303027926846
0.4126012569213256,0.41256994963476196,-0.01125089602923562,-0.011249172527490798,2.3773254092687433,2.3773918408641994,1.2720459070273553,1.2722542168089275
0.3561836291188837,0.35617149479454463,0.5441287446249515,0.5442450352429898,1.043405901595371,1.0435240776936205,1.1598607632701479,1.1598064793618914
0.17789894421882826,0.17797172738696515,-0.9249924438043836,-0.924998601021484,1.054840025218749,1.054872333039119,1.1657946196723123,1.1658068434582645
0.5335386923474902,0.5335887596815512,-0.009477057233897301,-0.009455440218664799,1.9899025811180409,1.9898164955175586,1.1965688213878614,1.1967309036398532
0.2885623634336859,0.28843951293148373,0.5871192629137595,0.5875901349321262,0.852287884798797,0.8523982889849125,1.3053085476630102,1.3052378510369431
0.1532588736780388,0.15326461551650825,-1.0615054410574871,-1.0615851048976772,1.091232131002472,1.0912729300800208,1.1130743701717583,1.1130830953723052
0.596326247525239,0.5963076644603909,-0.00954023728848479,-0.009544444587847171,1.896680879393862,1.896705362728536,1.2060748544901532,1.2061353058675954
0.2504148787967221,0.25042772002310093,0.6720003120184688,0.6720487469639743,0.8904204019933472,0.8904751736542554,1.2512365393027718,1.251200830847144
