method,backend,device,n,mean,sd,median,q25,q75,min,max,n_failed_to_converge,display_label
scott_huberty_torch,torch,cpu,1,7.458774700004142,,7.458774700004142,7.458774700004142,7.458774700004142,7.458774700004142,7.458774700004142,1,scott_huberty_torch
amica_python_numpy,numpy,cpu,1,20.071135299978778,,20.071135299978778,20.071135299978778,20.071135299978778,20.071135299978778,20.071135299978778,1,amica_python_numpy
neuromechanist_numpy,numpy,cpu,1,50.956554200005485,,50.956554200005485,50.956554200005485,50.956554200005485,50.956554200005485,50.956554200005485,1,neuromechanist_numpy
